Name,New_Name,Order
Application,Application,1
loan_status,Loan_Status,2
term,Term,3
grade,Grade,4
sub_grade,Sub_Grade,5
FICO,FICO,6
emp_length,Employment_Length,7
verification_status,Income_Verification_Status,8
annual_inc,Income_Annual,9
Existing_Debt_Payments_Annual,Existing_Debt_Payments_Annual,10
loan_amnt,Loan_Amount,11
dti,Debt-Income,12
Loan-Income,Loan-Income,13
int_rate,Int_Rate,14
ROI,ROI,15
Return_Total,Return_Total,16
total_rec_prncp,Principal_Received,17
total_rec_int,Interest_Received,18
total_rec_late_fee,LateFees_Received,19
Year,Year,20
mort_acc,Mortgage_Accounts,21
home_ownership,Home_Ownership,22
addr_state,State,23
purpose,Loan_Purpose,24
issue_d,issue_d,drop
fico_range_low,fico_range_low,drop
fico_range_high,fico_range_high,drop
out_prncp,out_prncp,drop
